# Tiempo	Posicion	Velocidad	Momentum
4.933211	-0.031908	-0.030303	-0.004394
4.966544	-0.031902	0.027303	0.003959
4.999878	-0.030088	0.027199	0.003944
5.033233	-0.030088	0.030356	0.004402
5.066544	-0.028064	0.077949	0.011303
5.099867	-0.024894	0.078005	0.011311
5.133211	-0.022864	0.071239	0.010330
5.166533	-0.020145	0.095032	0.013780
5.199867	-0.016530	0.135332	0.019623
5.233200	-0.011123	0.148915	0.021593
5.266533	-0.006602	0.128660	0.018656
5.299867	-0.002545	0.138715	0.020114
5.333200	0.002646	0.148915	0.021593
5.366533	0.007382	0.132018	0.019143
5.399856	0.011445	0.128780	0.018673
5.433211	0.015969	0.135384	0.019631
5.466544	0.020474	0.128513	0.018634
5.499856	0.024534	0.098337	0.014259
5.533189	0.027027	0.060900	0.008831
5.566522	0.028594	0.047413	0.006875
5.599856	0.030188	0.037393	0.005422
5.633211	0.031087	0.003336	0.000484
5.666522	0.030411	-0.013538	-0.001963
5.699856	0.030185	-0.027062	-0.003924
5.733200	0.028606	-0.064483	-0.009350
5.766511	0.025887	-0.067878	-0.009842
5.799844	0.024083	-0.080970	-0.011741
5.833211	0.020486	-0.098100	-0.014224
5.866522	0.017542	-0.094734	-0.013736
5.899844	0.014174	-0.115004	-0.016676
5.933178	0.009876	-0.135593	-0.019661
5.966522	0.005133	-0.159301	-0.023099
5.999844	-0.000744	-0.149124	-0.021623
6.033200	-0.004810	-0.125277	-0.018165
6.066511	-0.009096	-0.121799	-0.017661
6.099867	-0.012930	-0.111129	-0.016114
6.133178	-0.016505	-0.107925	-0.015649
6.166511	-0.020123	-0.088345	-0.012810
6.199844	-0.022394	-0.081732	-0.011851
6.233167	-0.025571	-0.047366	-0.006868
6.266511	-0.025552	-0.020017	-0.002902
6.299833	-0.026905	-0.009868	-0.001431
6.333167	-0.026210	0.033975	0.004926
6.366500	-0.024640	0.033597	0.004872
6.399833	-0.023970	0.040458	0.005866
6.433167	-0.021943	0.057279	0.008305
6.466556	-0.020148	0.067573	0.009798
6.499833	-0.017438	0.078354	0.011361
6.533167	-0.014929	0.067855	0.009839
6.566500	-0.012915	0.077581	0.011249
6.599833	-0.009757	0.121846	0.017668
6.633167	-0.004791	0.128565	0.018642
6.666500	-0.001186	0.121753	0.017654
6.699833	0.003325	0.135426	0.019637
6.733167	0.007843	0.128450	0.018625
6.766511	0.011890	0.122057	0.017698
6.799822	0.015978	0.112092	0.016253
6.833167	0.019362	0.098068	0.014220
6.866489	0.022516	0.094750	0.013739
6.899822	0.025677	0.064283	0.009321
6.933156	0.026802	0.037169	0.005389
6.966489	0.028155	0.027256	0.003952
6.999822	0.028619	-0.013389	-0.001941
7.033167	0.027262	-0.040600	-0.005887
7.066489	0.025912	-0.050767	-0.007361
7.099811	0.023879	-0.047461	-0.006882
7.133156	0.022748	-0.050883	-0.007378
7.166489	0.020486	-0.074541	-0.010808
7.199811	0.017780	-0.081152	-0.011767
7.233156	0.015076	-0.087777	-0.012728
7.266478	0.011928	-0.108380	-0.015715
7.299811	0.007852	-0.139095	-0.020169
7.333144	0.002655	-0.145813	-0.021143
7.366478	-0.001869	-0.111743	-0.016203
7.399811	-0.004795	-0.097881	-0.014193
7.433144	-0.008394	-0.118415	-0.017170
7.466478	-0.012689	-0.094874	-0.013757
7.499811	-0.014719	-0.081200	-0.011774
7.533144	-0.018102	-0.081105	-0.011760
7.566478	-0.020126	-0.057422	-0.008326
7.599811	-0.021930	-0.037217	-0.005396
7.633144	-0.022607	-0.013522	-0.001961
7.666533	-0.022833	-0.030350	-0.004401
7.699822	-0.024631	0.000000	0.000000
